,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9
2011_9,-0.027217709,-0.074088539,-0.023487087,-0.046855396,-0.076029235,-0.032506643,-0.07000791,-0.084922381,-0.067690169,-0.098709626
2011_10,0.031465906,0.033705812,0.01244862,0.053560702,0.039920689,0.05487704,-0.052191118,0.087764735,0.074773292,0.161742809
2011_11,-0.002059492,-0.004290375,-0.020347196,-0.010852974,-0.006801415,-0.00476496,0.066470938,0.038054839,-0.065832596,-0.011426067
2011_12,-0.062418073,-0.002804562,-0.021278461,-0.029749532,-0.07672249,-0.029996406,-0.034702359,-0.028867227,-0.054944647,-0.177953038
2012_1,0.070619899,0.064300497,0.04760352,0.086235756,0.113622304,0.039726065,0.066046119,0.042101559,0.045979595,0.22859576
2012_2,-0.048857776,-0.06462054,-0.046564683,-0.047228088,-0.123708424,-0.070538653,-0.070112788,-0.060593216,-0.074279088,-0.281181817
2012_3,-0.013425267,0.007872605,0.0091349,8.99E-05,0.00014124,0.125329214,-0.004326306,0.026056262,0.035433695,-0.139228865
2012_4,0.053132358,0.034160481,0.035948522,0.060008866,0.008705009,-0.001420433,0.045905168,0.007203954,0.03802916,0.241493635
2012_5,-0.07920127,-0.043994866,-0.028895654,-0.054469855,-0.035705323,-0.097566099,-0.07786924,-0.082024587,-0.140660982,-0.306926544
2012_6,-0.04250318,-0.014989925,-0.024041967,-0.047687558,-0.046596043,-0.028111212,-0.013959032,-0.108267148,-0.063264823,0.053518704
2012_7,-0.052294775,-0.054001764,-0.024208799,-0.017350458,-0.051450262,-0.130281723,-0.035911641,-0.030571785,-0.007582525,-0.396129438
2012_8,-0.081385422,0.002388227,-0.058018746,-0.010696405,0.001652495,0.082574347,0.117310968,-0.026479021,0.091931311,-0.042229828
2012_9,0.094318063,0.02505151,-0.016348946,0.018569605,0.030527756,-0.080624256,0.054408285,0.101111918,0.004491878,-0.121091147
2012_10,0.046887074,0.013597011,0.022270116,0.155933059,0.046961762,0.156456273,0.034515031,0.060247219,0.038457012,0.095169095
2012_11,0.024217073,0.133081784,0.048589791,0.040720459,0.110512742,0.008142012,0.037783986,0.066673834,0.08965353,-0.105540285
2012_12,-0.01998658,0.102984988,-0.032932415,0.022159654,0.017947856,-0.001677785,0.053743994,0.002925441,-0.033667331,-0.431877436
2013_1,0.004860927,-0.018604806,0.028356507,-0.01950968,0.012923704,0.096223127,-0.019167571,-0.003165159,0.018634925,0.419197707
2013_2,0.037736275,0.062181071,0.050749608,0.048434646,0.065713905,-0.017201971,0.075936855,0.052809271,0.051829919,0.091424851
2013_3,0.026069282,0.009729746,-0.024814965,0.000517504,0.004679227,-0.112938041,-0.0736713,0.000457145,0.042620355,-0.3494811
2013_4,-0.034901469,-0.031623751,-0.028902253,0.002321589,0.076757234,0.090757391,0.07016523,0.023752838,0.139493397,0.250841028
2013_5,0.018249743,0.019021044,-0.011520996,0.031858969,0.060651175,0.013162252,0.026406225,0.001408873,0.046789067,-0.122603765
2013_6,-0.009579791,0.049339357,0.036841548,0.018811559,-0.075080483,-0.01118775,-0.11113441,-0.009921104,-0.044058474,-0.436971454
2013_7,0.008397979,0.025715416,-0.002609143,0.032022957,0.085503886,0.040856444,0.120727781,0.049690722,0.044148848,-0.325109909
2013_8,-0.014064958,0.032039196,0.023042418,0.021953888,-0.057798071,-0.015529895,0.026456395,-0.007287779,-0.009037501,0.347484159
2013_9,0.002424338,0.077015605,0.061643377,0.043062593,0.097644261,0.07177354,-0.004911266,0.041959917,-0.090430185,0.251349741
2013_10,-0.025717298,-0.019482853,-0.00361707,-0.005600235,-0.008070391,0.003624635,-0.006381959,0.011372029,-0.156950227,-0.221369707
