Date,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,TA125,return,,,,,,,,,,,,,,,,,
01-02-13,0.010300904,0.031844999,0.061889706,0.054664409,0.05773643,0.03190723,0.064982731,0.037372306,-0.014927279,-0.591658115,-0.022537832,0.01689454,0.977714247,,,,,,1.010354141,1.032357477,1.063845002,1.056186108,1.059435724,1.032421723,1.067140596,1.038079432,0.98518358,0.553408908,0.977714247
01-03-13,-0.015150335,-0.004732163,0.02243102,0.02786129,-0.008473604,-0.01018209,-0.005011066,-0.033447065,-0.04169646,-0.179526869,-0.016927795,0.016785325,0.983214675,,,,,,0.984963854,0.995279016,1.022684487,1.028253045,0.991562196,0.989869572,0.995001469,0.967106103,0.95916088,0.835665497,0.983214675
01-04-13,-0.018393242,-0.013441072,-0.014906586,-0.004692218,-0.025878297,-0.022658617,0.000459093,-0.023496528,-0.034906417,0.135613796,0.095735605,0.016502679,1.100468067,,,,,,0.981774882,0.986648856,0.985203967,0.995318773,0.974453676,0.977596161,1.000459199,0.976777366,0.965695784,1.145239512,1.100468067
01-05-13,0.004445598,0.020913847,-0.003655493,0.024108755,-0.00181532,0.024181513,-0.00942168,0.007944362,-0.041708986,0.420404151,-0.108968528,0.01684809,0.89675864,,,,,,1.004455494,1.021134074,0.99635118,1.024401721,0.998186327,1.024476257,0.990622565,1.007976003,0.959148865,1.522576783,0.89675864
01-06-13,-0.041603761,-0.029649554,-0.021246284,-0.072117653,-0.016401597,-0.046658131,-0.026068461,0.016904944,-0.034530039,-0.473090095,-0.014859435,0.014749578,0.985250422,,,,,,0.959249797,0.970785682,0.978977828,0.930421422,0.983732177,0.954413627,0.974268388,1.017048641,0.966059319,0.623073933,0.985250422
01-07-13,0.007644244,0.024409222,0.018176799,0.046178396,-0.000973489,0.035874748,0.06334366,-0.007301928,0.020142995,-0.272434407,-0.01015001,0.012354765,0.989901327,,,,,,1.007673536,1.024709565,1.018343002,1.047261222,0.999026984,1.036526012,1.065392909,0.992724666,1.020347234,0.761523378,0.989901327
01-08-13,-0.003572693,-0.004730486,-0.005068036,-0.004559323,-0.026838226,-0.020197805,0.023602081,-0.013921643,-0.007117657,0.236962212,-0.012008518,0.011936703,0.988063297,,,,,,0.996433681,0.995280685,0.994944785,0.995451054,0.973518718,0.980004804,1.023882814,0.986174815,0.992907613,1.267393225,0.988063297
01-09-13,0.027394851,0.044522192,0.061023547,0.02891146,0.062236379,0.048963563,0.069739904,0.03922794,0.02078959,-0.024089413,-0.018328324,0.011798029,0.981838618,,,,,,1.027773541,1.045528179,1.062923942,1.029333454,1.064213873,1.050182085,1.072229262,1.040007516,1.021007199,0.976198421,0.981838618
01-10-13,-0.001879939,-0.020946181,-0.026750522,0.017142258,-0.007659923,0.001509392,-0.027505981,-0.05071235,-0.030885512,-0.540925896,-0.011713127,0.011644795,0.988355205,,,,,,0.998121826,0.979271666,0.973604104,1.01729003,0.99236934,1.001510532,0.972868864,0.950552058,0.969586572,0.582208938,0.988355205
01-11-13,0.007318018,0.009299742,0.001271408,-0.019397788,-0.013266636,-0.005320546,0.033294235,0.005494162,0.051708163,0.063401567,-0.009699552,0.009652663,0.990347337,,,,,,1.00734486,1.009343119,1.001272216,0.980789138,0.986820978,0.994693583,1.033854691,1.005509283,1.053068373,1.065454605,0.990347337
