Date,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9
2007_6,-0.0116657175819185,-0.004937687498837324,-0.0132356193325013,-0.001989164201801679,-0.02104747688120025,0.027513231183531908,-0.027537620395897633,-0.04004273623160089,-0.005612168356348396,-0.009388556264570637
2007_7,-0.014665010545803062,-0.0125170150801341,-0.05593541934878518,-0.014146700150286151,-0.024876753010566324,-0.06180207599481393,-0.01482894999909382,0.008821699707702376,-0.07197358248220621,-0.031397224122413823
2007_8,-0.06037603813772918,-0.0658038912316934,-0.03214957070951061,-0.05677368353607338,-0.06535982202525753,-0.04760550678175997,-0.06692107963417664,-0.04519982172332255,-0.033802826694465604,-0.0767170527996327
2007_9,0.023633717972190063,-0.009325729543962633,-0.014698401146758671,-0.014075748361557219,0.030782724546751482,0.03172544937032477,0.06771451283768033,0.041544327915512096,0.022313955040743898,-0.0012597312144737125
2007_10,0.006457985019321608,0.006837132688775429,-0.0033247447728678827,0.027822465937364437,0.02323581797468022,0.018942433131952093,0.016997066903066287,0.023793756070833765,0.02714499375639878,0.045445767079974594
2007_11,-0.023950379254579032,-0.06589915643085524,-0.04224105938791217,-0.055177713198670146,-0.03509206155379946,-0.09367333170010085,-0.07997224516390312,-0.07217681240658572,-0.04966400203247529,-0.0685329782847621
2007_12,-0.03150088684199027,-0.051865914699582925,0.044460323345941875,-0.09857210465891092,-0.023793637327231058,-0.0489697551509568,-0.05666296269426591,-0.011232200847609342,-0.017338684414437592,-0.009407487688955659
2008_1,-0.07609678637264575,-0.12915650153582978,-0.09862011027589183,-0.09709212272407107,-0.07055995052194652,-0.08237479715735625,-0.15178080137649128,-0.09110969739462028,-0.148746021482721,-0.14848969649628632
2008_2,-0.014788686284448458,0.008567646661578823,0.04582847904330581,-0.03041242496053058,0.008001826386921795,0.04922608294523794,0.014212479872669609,0.037997529109643956,0.011159833270733825,0.023201344721232153
2008_3,-0.06824671581665216,-0.08989337495587289,-0.0736791338830377,-0.1109221258940191,-0.04496674515482106,-0.07250142859420038,-0.044365097399875604,-0.056054866324537475,-0.08985790021441863,-0.06941318928478354
2008_4,-0.005018604209514281,-0.027919719960010796,-0.02963472451815666,-0.03827355643590221,-0.013644060113644847,-0.014294672353823935,-0.01778030770283908,-0.044563617319323096,-0.02297533567278226,-0.07158089824876673
2008_5,0.009151853441416558,-0.02700197895171995,-0.0049984188584216716,-0.020122987541113444,0.010980915095272107,0.008197261639027415,0.003243865704829323,-0.025444155931978886,0.006882949356773236,0.001455610378746868
2008_6,-0.10541464609557026,-0.05819534125268645,-0.103265928178071,-0.0658333220074561,-0.0887508369703353,-0.06647516683588843,-0.1158059039695775,-0.09823559626049985,-0.1540606504141167,-0.11421406729284395
2008_7,-0.012435777894154657,-0.004348249263053042,0.038740310700459475,0.05304522647769627,0.0514942234960445,-0.008276485599787152,0.026537519590075546,0.040698738175948455,0.029965545492306143,0.0036807382601324705
2008_8,-0.04817323043372061,-0.08847722200955639,-0.01282469178004561,0.010806418113175635,0.0025564777386486636,-0.001436175950323078,-0.008740996107260233,-0.027035852452711284,0.0010310830125367138,-0.04996253606900892
2008_9,-0.03818441013059829,-0.07482041731528923,-0.16807228597276205,-0.11453321664919591,-0.0919334116568139,-0.13986288167213431,-0.12054063366050526,-0.11920819597953576,-0.14552357790904777,-0.1927903758492739
2008_10,-0.0831252214093068,-0.1260778639104396,-0.1916351469438156,-0.12473359938267847,-0.18869364344987058,-0.18039530404321447,-0.1741046711303577,-0.20351981052590334,-0.2104959701736774,-0.17790703434660224
2008_11,-0.11654989732872865,-0.07468683468313075,-0.15976099215961345,-0.18171295833882845,-0.14020568566913072,-0.13545960200219329,-0.14887220837865422,-0.14565306392770597,-0.164223136584729,-0.2259651797985197
2008_12,-0.05855957008350461,-0.14860516811493138,-0.09061732726463712,-0.037593502881555996,-0.03219012658980614,-0.013134242445320386,-0.08891313534058602,-0.04575034306912946,-0.02443287193030454,-0.16747575107842338
2009_1,0.1924496470769917,0.32792641998517896,0.17209792311814023,0.07538969591087925,0.16595396983594143,0.14833260742453666,0.1851003366472906,0.13377001389480883,0.09775002711523019,0.2289863634856913
2009_2,0.011752367146053861,0.029316702385324994,0.06152210548989796,0.012292962583230954,0.010782820068857366,-0.023006725730547326,0.020794382689108486,-0.003675151506051894,0.03930015544298234,0.04320991601276759
2009_3,0.11504480087762906,0.1705048155600196,0.19493772109728033,0.2042106931436492,0.23678320470147188,0.21582709665564728,0.24594944481049238,0.14090380387814924,0.22729115490190388,0.1465894281042719
2009_4,0.013514629687738413,0.12566535387650085,0.09211481566671398,0.06804771907185783,0.06745151977479744,0.09495138278659354,0.1061291008800996,0.07490699554957482,0.10802960101707926,0.11107055950328117
2009_5,0.32531040962403485,0.16966346747021718,0.10758298891996416,0.08578315514885677,0.1073991344521521,0.10849853799192068,0.16263590827723937,0.2067549590358542,0.09886793364870206,0.21865016545965224
